GaugeID,Stream Order,Maximal Flow Length,Downvalley Length,Drainage Area,Catchment Relief,Catchment Length,Catchment Perimeter,Sinuosity Index,Form Factor,Relief Ratio,Elongation Ratio,Circularity Ratio,Lemniscates Value,Drainage Texture,Drainage Density,Compactness Coefficient,Wandering Ratio,Fitness Ratio,Basin Magnitude,Channel Frequency,Drainage Intensity,Infiltration Number,Ruggedness Number,No. of Firstorder Streams,No. of Secondorder Streams,No. of Thirdorder Streams,No. of Fourthorder Streams,No. of Fifthorder Streams,No. of Sixthorder Streams,No. of Seventhorder Streams,No. of Eigthorder Streams,Firstorder Streams Length,Secondorder Streams Length,Thirdorder Streams Length,Fourthorder Streams Length,Fifthorder Streams Length,Sixthorder Streams Length,Seventhorder Streams Length,Eighthorder Streams Length,Firstorder Streams  Mean  Length,Secondorder Streams  Mean Length,Thirdorder Streams Mean Length,Fourthorder Streams Mean Length,Fifthorder Streams Mean Length,Sixthorder Streams Mean Length,Seventhorder Streams Mean Length,Eighthorder Streams Mean Length,FirstSecond Stream Length Ratio,SecondThird Stream Length Ratio,ThirdForth Stream Length Ratio,FourthFifth Stream Length Ratio,FifthSixth Stream Length Ratio,SixthSeventh Stream Length Ratio,SeventhEighth Stream Length Ratio,FirstSecond Bifurcation Ratio,SecondThird Bifurcation Ratio,ThirdForth Bifurcation Ratio,FourthFifth Bifurcation Ratio,FifthSixth Bifurcation Ratio,Sixthseventh Bifurcation Ratio,SeventhEighth Bifurcation Ratio,Annual Mean Temperature,Mean Diurnal Range,Isothermality,Temperature Seasonality,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Temperature Annual Range,Mean Temperature of Wettest Quarter,Mean Temperature of Driest Quarter,Mean Temperature of Warmest Quarter,Mean Temperature of Coldest Quarter,Annual Precipitation,Precipitation of Wettest Month,Precipitation of Driest Month,Precipitation Seasonality,Precipitation of Wettest Quarter,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Coldest Quarter,KoppenGeiger Climate Type,2015_GDP_PPP,2010_GDP_PPP,2005_GDP_PPP,2000_GDP_PPP,1995_GDP_PPP,1990_GDP_PPP,2010_GDP_PC_PPP,2015_GDP_PC_PPP,2005_GDP_PC_PPP,2000_GDP_PC_PPP,1995_GDP_PC_PPP,1990_GDP_PC_PPP,Night Light,Road Density,Urban percentage,2010_HDI,2015_HDI,2005_HDI,2000_HDI,1995_HDI,1990_HDI,Population Count,Population Density,Land cover,Soil type,lithology type
INDOFLOODS-gauge-1085,5,463678.7188,330162.8125,21904.48242,1204,341410.3438,1098149.25,1.40439415,0.18792288,0.003526548,7.02E-11,0.228254899,5.321331978,0.000363339,0.000161826,2.107978106,1.358127356,0.422236532,315,1.82E-08,0.000112562,2.95E-12,0.1948383,315,67,13,3,1,,,,1756620.375,817386.5,396399.9375,274903.0313,299401.1875,,,,5576.572754,12199.79883,30492.30273,91634.34375,299401.1875,,,,0.465317667,0.484960228,0.693499207,1.08911562,,,,4.70149231,5.153846264,4.333333492,3,,,,25.324364,11.317986,40.461182,493.632095,38.792319,10.797642,27.994677,27.586145,18.959131,31.029907,18.706263,1213.55461,306.451879,3.037624,115.792655,829.954574,26.053865,236.935106,34.614645,Tropical,193803869.7,139464558.5,95072538.82,76975155.1,55169759.77,46898096.51,2346.516734,3052.095218,1713.25437,1511.417903,1239.699602,1215.136213,7.762763,433.032258,42.26073014,0.508558694,0.547139028,0.469978406,0.433151714,0.403339676,0.375281258,15777280,722.63754,Cropland,Luvisols,Metamorphics
INDOFLOODS-gauge-1086,4,177011.0156,141331.0781,3892.973877,6211,143702.125,410573.625,1.252456427,0.188518986,0.043221351,3.95E-10,0.290207922,5.304505348,0.000189978,0.000158242,1.869483113,1.231791258,0.431131005,62,2.00E-08,0.000126617,3.17E-12,0.982839584,62,12,3,1,,,,,316629,122135.1719,60169.47656,117097.4063,,,,,5106.919434,10177.93066,20056.49219,117097.4063,,,,,0.385735899,0.492646605,1.946126342,,,,,5.166666508,4,3,,,,,7.806537,10.379593,44.003823,497.941211,17.580836,-5.958672,23.539508,13.472271,2.495361,13.476865,1.348548,1497.193573,375.047232,6.686992,97.257994,892.313782,29.107433,891.665505,45.269067,No dominant class,12537914.91,9467456.109,6429036.721,4858194.201,3456601.427,2624828.332,5724.869182,7286.04316,3954.367452,2890.300994,2122.780732,1775.52864,0.445341,133.94,0.708263069,0.567195378,0.600500845,0.5367355,0.506430063,0.479317621,0.452753984,156647.7072,39.516921,Forest,Luvisols,Metamorphics
INDOFLOODS-gauge-1095,4,232643.0781,171425.6719,4486.435547,449,174895.9063,494078.9688,1.35710752,0.146670282,0.002567241,3.03E-10,0.230950311,6.818013668,0.000141678,0.000156037,2.095640898,1.330180287,0.47086212,58,1.56E-08,0.0001,2.43E-12,0.070060782,58,9,2,1,,,,,300637.2813,173040.2813,73708.875,152665.1719,,,,,5183.401367,19226.69727,36854.4375,152665.1719,,,,,0.575578272,0.42596367,2.071191072,,,,,6.444444656,4.5,2,,,,,25.778604,11.710461,42.215595,480.925382,38.529983,10.78304,27.746943,28.274174,19.542199,31.084188,19.173552,1247.279793,307.890501,2.95544,112.059601,822.949396,27.228325,268.388428,33.344041,Tropical,152519289.2,110181495.9,75273854.16,61545553.9,45303601.18,39482880.16,2260.846461,2940.664602,1646.569387,1455.574869,1204.343872,1187.075128,4.304996,328.622951,41.60120846,0.501617539,0.539671302,0.463563821,0.427239764,0.397834623,0.370159164,2402524,528.754171,Cropland,Luvisols,No dominant class
INDOFLOODS-gauge-1100,5,291041.0938,205205.5625,19162.85352,557,209606.8906,710930.25,1.418290496,0.436163247,0.002657355,1.22E-10,0.476448596,2.292719603,0.00039385,0.00016395,1.459043145,1.388509154,0.409380645,220,1.46E-08,8.91E-05,2.40E-12,0.091319874,220,43,12,4,1,,,,1420586.25,756499.5625,426683.9688,486951.25,51019.36328,,,,6457.210449,17593.01367,35556.99609,121737.8125,51019.36328,,,,0.532526314,0.564024091,1.141245723,0.104773045,,,,5.116279125,3.583333254,3,4,,,,25.907135,11.496072,42.739645,462.229225,37.809083,10.905593,26.90349,28.756363,19.729201,30.640983,19.38022,1326.954101,334.074126,2.542017,110.528196,860.792341,29.414267,306.612585,32.01933,Tropical,277972901.7,201022334.9,139999525.2,112995292.4,78236432.59,65502953.69,2899.980282,3771.980678,2144.065498,1872.185794,1468.111476,1396.421821,3.422081,304.813765,42.01283588,0.545916527,0.58733092,0.504502209,0.464970294,0.432968304,0.402848767,13108320,683.970965,Cropland,Luvisols,Unconsolidated sediments
INDOFLOODS-gauge-162,4,92433.67969,63537.03906,2188.419678,926,69395.03125,240174.5313,1.454799891,0.454437196,0.013343895,1.09E-09,0.476745456,2.200524092,0.000166546,0.00016614,1.458588839,1.331992745,0.384860456,32,1.83E-08,0.000110016,3.04E-12,0.153845653,32,5,2,1,,,,,226778.6563,57366.32422,43368.85547,36070.23438,,,,,7086.833008,11473.26465,21684.42773,36070.23438,,,,,0.252961755,0.755998492,0.831708252,,,,,6.400000095,2.5,2,,,,,25.838337,12.2916,51.657487,275.453002,36.964184,13.17375,23.790434,25.77392,23.957059,29.450858,22.379123,2726.190215,1093.751004,0.549471,160.062285,2287.393574,2.981745,336.173786,4.75356,Tropical,116926354.3,85148156.5,58972067.79,40660399.14,32546801.98,22735384.63,6587.927311,8569.033386,4838.019486,3467.427754,3202.525504,2568.094382,2.301798,273.678571,14.64354528,0.690758935,0.743161382,0.638356593,0.588336111,0.547843316,0.509732467,616329.6389,285.059399,Mosaic vegetation,Leptosols,Basic volcanic rocks
INDOFLOODS-gauge-175,4,102817.5547,77464.82031,2308.24707,517,79989.875,251064.4688,1.327280641,0.360754907,0.006463318,9.22E-10,0.460173547,2.771965027,0.000175254,0.000171614,1.484620094,1.285382152,0.409526497,33,1.91E-08,0.000111075,3.27E-12,0.088724673,33,8,2,1,,,,,206872.75,81737.95313,89281.51563,18236.33203,,,,,6268.871094,10217.24414,44640.75781,18236.33203,,,,,0.395112216,1.092289567,0.20425652,,,,,4.125,4,2,,,,,26.54454,13.190411,46.159654,417.186049,40.391985,11.818473,28.573512,27.181917,26.324292,31.930386,21.154994,902.152047,303.567251,0.359477,148.939301,754.125559,3.588923,114.381837,5.081183,Tropical,257966171.9,187405717.6,132375921.9,79648902.57,61798164.46,46441520.93,6431.701014,8365.660464,4836.338529,3127.716021,2704.879846,2292.262725,0.396864,319.642857,56.09318996,0.657468596,0.707345571,0.607591681,0.559981907,0.521440658,0.485166505,1072623,469.067879,Cropland,Vertisols,No dominant class
INDOFLOODS-gauge-180,5,750349.125,566346.3125,63694.52734,1256,570237.4375,1835279,1.324894547,0.195880264,0.002202591,2.46E-11,0.237633571,5.10515976,0.000589556,0.000174341,2.065961599,1.315853834,0.408847451,828,1.70E-08,9.74E-05,2.96E-12,0.218971848,828,207,39,7,1,,,,5933836,2776032.75,1316217.625,497981.1875,580477.3125,,,,7166.46875,13410.78613,33749.16797,71140.17188,580477.3125,,,,0.467831045,0.474136204,0.378342599,1.165661097,,,,4,5.307692528,5.571428776,7,,,,26.644081,13.454998,47.622782,395.537198,41.079145,12.812237,28.266908,26.601947,26.8302,32.059281,21.931086,838.95258,248.13808,2.162785,127.462213,618.816838,10.939145,142.659974,23.16041,Arid,223100910.2,161785150.5,111455085.7,74877175.42,63905979.75,45529916.38,6438.921964,8375.05314,4718.821926,3442.631849,3265.356644,2597.590006,1.705076,380.47401,7.989958449,0.681918726,0.733650546,0.630187034,0.580806697,0.540832114,0.503209005,18379050,286.74663,Cropland,Vertisols,Basic volcanic rocks
INDOFLOODS-gauge-19,7,1393229.75,915337.375,305683.8125,1514,938523.5625,4014486,1.52209425,0.347042024,0.001613172,6.83E-12,0.238353983,2.881495237,0.001294562,0.000162522,2.062837124,1.484490991,0.347050607,4101,1.70E-08,0.000104609,2.76E-12,0.246058911,4101,860,180,40,11,4,1,,26209998,11301700,5876153,3152302.25,1722194.375,920850.8125,497267.9375,,6391.123535,13141.51172,32645.29492,78807.55469,156563.125,230212.7031,497267.9375,,0.431198061,0.51993531,0.536456823,0.546329081,0.534696221,0.540009201,,4.768604755,4.777777672,4.5,3.636363745,2.75,4,,26.285973,12.167402,44.599956,401.843044,40.446505,13.11111,27.335395,26.329811,22.54178,31.705599,21.40726,1129.144815,318.491425,3.940672,123.51285,813.078874,16.861178,195.872196,26.747165,Tropical,160155032.2,116174215.5,77950675.62,54006858.99,44524635.05,31976059.33,5592.303011,7273.86278,4001.992508,2998.08877,2728.567006,2193.131023,2.66209,336.436601,6.420258287,0.63860536,0.687051332,0.590159489,0.543915645,0.506480131,0.471246728,69173810,225.979262,Cropland,Vertisols,No dominant class
INDOFLOODS-gauge-243,6,335415.4375,148760.8125,25780.10156,776,153332.3438,883523.625,2.254729748,1.096521258,0.005060902,1.44E-10,0.415009618,0.911974967,0.000543279,0.000166585,1.56331718,2.187506199,0.379633814,362,1.86E-08,0.000111769,3.10E-12,0.129270181,362,87,21,7,2,1,,,2182030,1074673.375,446856.5313,370497.2813,140171.6719,80356.35156,,,6027.707031,12352.56738,21278.88281,52928.18359,70085.83594,80356.35156,,,0.492510825,0.41580683,0.829119086,0.378333867,0.573270977,,,4.160919666,4.142857075,3,3.5,2,,,26.24405,13.592345,45.210734,454.466508,40.823898,10.75849,30.065408,27.101032,25.401185,32.047411,20.319394,801.554419,269.926536,0.566884,147.836025,676.194102,4.598877,88.411717,5.990674,Tropical,123643514.9,89684939.36,60931428.02,44414082.95,34206777.01,28540916.87,3742.723943,4868.130189,2688.086995,2154.203322,1795.189917,1674.721148,1.173502,259.159639,23.87510513,0.537603317,0.578387049,0.496819643,0.457889736,0.426375074,0.396714189,8593699,330.369641,Cropland,Vertisols,No dominant class
INDOFLOODS-gauge-294,3,44865.85547,33050.31641,757.8242188,596,37953.11328,128600.3281,1.357501507,0.526106477,0.015703587,3.39E-09,0.575829864,1.900755882,0.000124416,0.00016071,1.327177644,1.182139039,0.348878235,13,2.11E-08,0.000131374,3.39E-12,0.095782936,13,2,1,,,,,,78528.16406,26233.96484,17027.51758,,,,,,6040.62793,13116.98242,17027.51758,,,,,,0.334070772,0.649063826,,,,,,6.5,2,,,,,,25.424382,12.700868,51.794705,284.738942,37.038276,12.518086,24.520189,25.302015,23.574553,29.181949,21.902383,2358.392219,915.412198,0.537329,156.476237,1970.740273,3.330179,282.342797,5.560463,Tropical,87513390.2,64171053,45026656.6,30523954.6,26145880.75,18724337.45,6955.95888,9047.5588,5110.6972,3629.85882,3400.13286,2704.61056,0.150049,249.4,7.468123862,0.709691464,0.76353018,0.655852872,0.604461412,0.562858774,0.52370337,150872.7508,196.80317,Mosaic vegetation,Leptosols,No dominant class
INDOFLOODS-gauge-31,7,1281775.25,840818.4375,279467.9688,1334,861739.125,3990670.5,1.524437666,0.376340032,0.001548032,7.78E-12,0.220521107,2.657171488,0.001195538,0.000162588,2.144623518,1.487428427,0.32119295,3760,1.71E-08,0.000105,2.78E-12,0.216892451,3760,791,167,38,10,4,1,,24024444,10302391,5381754.5,2736072.5,1686823.875,920850.8125,385813.5313,,6389.47998,13024.51465,32226.07422,72001.90625,168682.3906,230212.7031,385813.5313,,0.428829521,0.52237916,0.508397877,0.616512835,0.545908093,0.418975055,,4.75347662,4.736526966,4.394736767,3.799999952,2.5,4,,26.366711,12.367142,44.538575,408.620285,40.82196,13.005924,27.816036,26.383147,22.635556,31.896472,21.429902,1103.967953,314.857984,3.918808,124.710613,803.651781,16.926534,187.517399,25.587445,Tropical,167448738.5,121475610.9,81750134.63,56587769.79,46857863.46,33601058.68,5726.199743,7448.021177,4111.858493,3076.580207,2815.73027,2259.416846,2.724142,338.663431,6.65477839,0.647889029,0.697039281,0.598738882,0.551822773,0.513843042,0.478097435,65533550,233.516071,Cropland,Vertisols,No dominant class
INDOFLOODS-gauge-329,6,578873.0625,347800.3125,52106.02344,939,365715.6563,1187652.125,1.664383411,0.389583737,0.002567569,4.25E-11,0.46421513,2.566842318,0.000710646,0.000162811,1.478143215,1.582850099,0.487409621,666,1.62E-08,9.95E-05,2.64E-12,0.152879208,666,141,26,8,2,1,,,4449868,2181722.5,835648.25,474784.9375,473541.5625,67850.85156,,,6681.483398,15473.20898,32140.31641,59348.11719,236770.7813,67850.85156,,,0.490289271,0.383022249,0.568163633,0.99738121,0.143283829,,,4.723404408,5.423077106,3.25,4,2,,,25.794088,13.091634,52.913086,296.893667,38.515087,13.767531,24.747556,25.245915,24.749146,29.854103,22.403974,784.14091,223.902518,0.876189,104.824303,494.167441,6.43526,96.141235,29.608339,Arid,271887554,196045209.1,133424824.6,89697442.18,75664151.65,52222585.37,6873.718164,8940.589096,5032.584589,3657.00618,3437.449656,2705.553845,4.908241,389.422601,9.337251941,0.714831233,0.769059862,0.660602736,0.608839079,0.566935135,0.527496163,17910630,342.16164,Cropland,Vertisols,Basic volcanic rocks
